FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,NATIONALITY,Nazionalità,KNOWLEDGE_1522,Modalità di conoscenza del 1522,TIME_PERIOD,Osservazione,OBS_STATUS
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,TV,TV,2019,253,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,TV,TV,2020,281,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,TV,TV,2021,165,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,TV,TV,2022,135,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,TV,TV,2023,160,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,TV,TV,2024,280,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PRESS,Stampa,2015,11,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PRESS,Stampa,2016,14,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PRESS,Stampa,2017,14,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PRESS,Stampa,2018,15,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PRESS,Stampa,2019,17,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PRESS,Stampa,2020,28,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PRESS,Stampa,2021,33,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PRESS,Stampa,2022,26,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PRESS,Stampa,2023,10,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PRESS,Stampa,2024,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,INTERNET,Internet,2015,168,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,INTERNET,Internet,2016,237,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,INTERNET,Internet,2017,238,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,INTERNET,Internet,2018,337,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,INTERNET,Internet,2019,561,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,INTERNET,Internet,2020,385,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,INTERNET,Internet,2021,335,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,INTERNET,Internet,2022,604,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,INTERNET,Internet,2023,760,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,INTERNET,Internet,2024,724,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,SOCIALMEDIA,Social media,2021,3,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,SOCIALMEDIA,Social media,2022,12,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,SOCIALMEDIA,Social media,2023,14,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,SOCIALMEDIA,Social media,2024,8,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,NEWSWEB,Notizie dal web - ricerca sui motori di ricerca,2021,18,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,NEWSWEB,Notizie dal web - ricerca sui motori di ricerca,2022,54,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,CHAT,Chat di amici e conoscenti,2021,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,CHAT,Chat di amici e conoscenti,2022,11,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RELATIVE,Parente / amico / conoscente,2015,95,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RELATIVE,Parente / amico / conoscente,2016,110,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RELATIVE,Parente / amico / conoscente,2017,102,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RELATIVE,Parente / amico / conoscente,2018,159,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RELATIVE,Parente / amico / conoscente,2019,157,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RELATIVE,Parente / amico / conoscente,2020,163,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RELATIVE,Parente / amico / conoscente,2021,181,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RELATIVE,Parente / amico / conoscente,2022,231,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RELATIVE_REL,Parente,2023,14,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RELATIVE_REL,Parente,2024,12,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RELATIVE_FRACQ,Amico/conoscente,2023,192,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,RELATIVE_FRACQ,Amico/conoscente,2024,136,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PUB_SERV,Servizio pubblico,2015,116,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PUB_SERV,Servizio pubblico,2016,133,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PUB_SERV,Servizio pubblico,2017,142,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PUB_SERV,Servizio pubblico,2018,147,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PUB_SERV,Servizio pubblico,2019,192,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PUB_SERV,Servizio pubblico,2020,108,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WRL_X_ITA,Paesi esteri,PUB_SERV,Servizio pubblico,2021,121,
