FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y25-34,25-34 anni,2015,42,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y25-34,25-34 anni,2016,48,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y25-34,25-34 anni,2017,56,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y25-34,25-34 anni,2018,30,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y25-34,25-34 anni,2019,29,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y25-34,25-34 anni,2020,70,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y25-34,25-34 anni,2021,54,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y25-34,25-34 anni,2022,40,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y25-34,25-34 anni,2023,79,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y25-34,25-34 anni,2024,45,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y35-44,35-44 anni,2015,60,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y35-44,35-44 anni,2016,76,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y35-44,35-44 anni,2017,66,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y35-44,35-44 anni,2018,51,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y35-44,35-44 anni,2019,49,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y35-44,35-44 anni,2020,82,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y35-44,35-44 anni,2021,54,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y35-44,35-44 anni,2022,41,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y35-44,35-44 anni,2023,68,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y35-44,35-44 anni,2024,48,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y45-54,45-54 anni,2015,78,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y45-54,45-54 anni,2016,59,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y45-54,45-54 anni,2017,42,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y45-54,45-54 anni,2018,51,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y45-54,45-54 anni,2019,38,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y45-54,45-54 anni,2020,69,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y45-54,45-54 anni,2021,43,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y45-54,45-54 anni,2022,31,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y45-54,45-54 anni,2023,43,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y45-54,45-54 anni,2024,42,,
