FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPES_USERS,Tipologia di utenza,SEX,Sesso,NATIONALITY,Nazionalità,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,T,Totale,WORLD,Mondo,2020,217,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,T,Totale,WORLD,Mondo,2021,272,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,T,Totale,WORLD,Mondo,2022,262,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,T,Totale,WORLD,Mondo,2023,5621,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,OTH_VALID,Altre chiamate valide,T,Totale,WORLD,Mondo,2024,11531,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,MISSING,Valore mancante,M,Maschi,WORLD,Mondo,2023,112,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,MISSING,Valore mancante,M,Maschi,WORLD,Mondo,2024,18,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,MISSING,Valore mancante,F,Femmine,WORLD,Mondo,2023,374,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,MISSING,Valore mancante,F,Femmine,WORLD,Mondo,2024,46,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,MISSING,Valore mancante,NRP,Non indicato,WORLD,Mondo,2023,8,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,MISSING,Valore mancante,NRP,Non indicato,WORLD,Mondo,2024,21,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,MISSING,Valore mancante,T,Totale,WORLD,Mondo,2023,494,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,MISSING,Valore mancante,T,Totale,WORLD,Mondo,2024,85,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2015,433,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2016,419,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2017,468,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2018,491,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2019,498,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2020,645,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2021,578,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2022,624,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2023,931,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2024,1141,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,F,Femmine,WORLD,Mondo,2015,4366,,
