FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,Y_PRESENCE_DISABILITY,Presenza di disabilità,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,1,Si,2018,505,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,1,Si,2019,504,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,1,Si,2020,1669,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,1,Si,2021,3354,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,1,Si,2022,1799,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,1,Si,2023,6791,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,1,Si,2024,2060,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,2,Non indicato,2015,2527,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,2,Non indicato,2016,1862,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,2,Non indicato,2017,1589,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,2,Non indicato,2018,641,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,2,Non indicato,2019,562,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,2,Non indicato,2020,6896,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,2,Non indicato,2021,14184,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,2,Non indicato,2022,14427,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,2,Non indicato,2023,36803,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,2,Non indicato,2024,49034,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,9,Totale,2015,19706,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,9,Totale,2016,17634,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,9,Totale,2017,17616,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,9,Totale,2018,23233,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,9,Totale,2019,21290,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,9,Totale,2020,31688,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,9,Totale,2021,36036,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,9,Totale,2022,32430,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,9,Totale,2023,51713,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,T,Totale,9,Totale,2024,65048,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,0,No,2015,348,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,0,No,2016,349,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,0,No,2017,396,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,0,No,2018,448,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,0,No,2019,477,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,0,No,2020,528,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,0,No,2021,352,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,M,Maschi,0,No,2022,293,,
