FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,COMP_REASWITHDRAWAL,Denucia_motivo_ritiro,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2020,10,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2021,15,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2022,2,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2023,10,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2024,9,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2015,1,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2016,3,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2018,1,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2019,2,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2020,2,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2021,2,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2022,1,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2023,1,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2024,1,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2015,59,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2016,48,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2017,50,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2018,47,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2019,42,,
A,Annuale,ITC,Nord-ovest,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2020,66,,
