territorio,canale_segnalazione,sesso,orientamento_sessuale,periodo,numero_vittime
liguria,Utenti del 1522,maschi,omosessuale,2021,3
liguria,Utenti del 1522,maschi,omosessuale,2022,1
liguria,Utenti del 1522,maschi,transessuale,2020,4
liguria,Utenti del 1522,maschi,transessuale,2021,1
liguria,Utenti del 1522,maschi,missing,2023,105
liguria,Utenti del 1522,maschi,missing,2024,103
liguria,Utenti del 1522,maschi,altro o non indicato,2015,47
liguria,Utenti del 1522,maschi,altro o non indicato,2016,29
liguria,Utenti del 1522,maschi,altro o non indicato,2017,29
liguria,Utenti del 1522,maschi,altro o non indicato,2018,44
liguria,Utenti del 1522,maschi,altro o non indicato,2019,38
liguria,Utenti del 1522,maschi,altro o non indicato,2020,58
liguria,Utenti del 1522,maschi,altro o non indicato,2021,42
liguria,Utenti del 1522,maschi,altro o non indicato,2022,53
liguria,Utenti del 1522,femmine,omosessuale,2016,1
liguria,Utenti del 1522,femmine,omosessuale,2017,2
liguria,Utenti del 1522,femmine,omosessuale,2018,1
liguria,Utenti del 1522,femmine,omosessuale,2020,1
liguria,Utenti del 1522,femmine,omosessuale,2021,1
liguria,Utenti del 1522,femmine,transessuale,2016,3
liguria,Utenti del 1522,femmine,transessuale,2017,2
liguria,Utenti del 1522,femmine,transessuale,2019,1
liguria,Utenti del 1522,femmine,transessuale,2020,6
liguria,Utenti del 1522,femmine,transessuale,2021,2
liguria,Utenti del 1522,femmine,transessuale,2022,1
liguria,Utenti del 1522,femmine,missing,2023,654
liguria,Utenti del 1522,femmine,missing,2024,874
liguria,Utenti del 1522,femmine,altro o non indicato,2015,501
liguria,Utenti del 1522,femmine,altro o non indicato,2016,463
liguria,Utenti del 1522,femmine,altro o non indicato,2017,363
liguria,Utenti del 1522,femmine,altro o non indicato,2018,482
liguria,Utenti del 1522,femmine,altro o non indicato,2019,453
liguria,Utenti del 1522,femmine,altro o non indicato,2020,541
liguria,Utenti del 1522,femmine,altro o non indicato,2021,587
liguria,Utenti del 1522,femmine,altro o non indicato,2022,525
liguria,Utenti del 1522,non indicato,missing,2023,3
liguria,Utenti del 1522,non indicato,missing,2024,4
lombardia,Utenti del 1522,maschi,omosessuale,2015,2
lombardia,Utenti del 1522,maschi,omosessuale,2016,4
lombardia,Utenti del 1522,maschi,omosessuale,2017,8
lombardia,Utenti del 1522,maschi,omosessuale,2018,7
lombardia,Utenti del 1522,maschi,omosessuale,2019,11
lombardia,Utenti del 1522,maschi,omosessuale,2020,10
lombardia,Utenti del 1522,maschi,omosessuale,2021,12
lombardia,Utenti del 1522,maschi,omosessuale,2022,11
lombardia,Utenti del 1522,maschi,transessuale,2016,4
lombardia,Utenti del 1522,maschi,transessuale,2017,2
lombardia,Utenti del 1522,maschi,transessuale,2018,3
lombardia,Utenti del 1522,maschi,transessuale,2020,4
lombardia,Utenti del 1522,maschi,transessuale,2021,2
lombardia,Utenti del 1522,maschi,transessuale,2022,1
lombardia,Utenti del 1522,maschi,missing,2023,577
lombardia,Utenti del 1522,maschi,missing,2024,733
lombardia,Utenti del 1522,maschi,altro o non indicato,2015,233
lombardia,Utenti del 1522,maschi,altro o non indicato,2016,236
lombardia,Utenti del 1522,maschi,altro o non indicato,2017,254
lombardia,Utenti del 1522,maschi,altro o non indicato,2018,299
lombardia,Utenti del 1522,maschi,altro o non indicato,2019,296
lombardia,Utenti del 1522,maschi,altro o non indicato,2020,394
lombardia,Utenti del 1522,maschi,altro o non indicato,2021,350
lombardia,Utenti del 1522,maschi,altro o non indicato,2022,391
lombardia,Utenti del 1522,femmine,omosessuale,2015,2
lombardia,Utenti del 1522,femmine,omosessuale,2016,4
lombardia,Utenti del 1522,femmine,omosessuale,2017,1
lombardia,Utenti del 1522,femmine,omosessuale,2018,2
