territorio,sesso,stato_denuncia,periodo,numero_vittime
lombardia,maschi,ritira la denuncia,2015,1
lombardia,maschi,ritira la denuncia,2016,1
lombardia,maschi,ritira la denuncia,2018,1
lombardia,maschi,ritira la denuncia,2019,2
lombardia,maschi,ritira la denuncia,2020,1
lombardia,maschi,ritira la denuncia,2021,2
lombardia,maschi,ritira la denuncia,2024,1
lombardia,maschi,non denuncia,2015,32
lombardia,maschi,non denuncia,2016,30
lombardia,maschi,non denuncia,2017,26
lombardia,maschi,non denuncia,2018,30
lombardia,maschi,non denuncia,2019,27
lombardia,maschi,non denuncia,2020,41
lombardia,maschi,non denuncia,2021,35
lombardia,maschi,non denuncia,2022,24
lombardia,maschi,non denuncia,2023,55
lombardia,maschi,non denuncia,2024,40
lombardia,maschi,non risponde,2017,1
lombardia,maschi,non risponde,2018,1
lombardia,maschi,non risponde,2022,1
lombardia,maschi,non risponde,2023,8
lombardia,maschi,non risponde,2024,3
lombardia,maschi,non disponibile,2015,4
lombardia,maschi,non disponibile,2016,4
lombardia,maschi,non disponibile,2017,6
