sesso,titolo_studio,imput_affermazione,grado_accordo,percentuale
femmine,diploma_o_equivalente,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,24.4
femmine,diploma_o_equivalente,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,27.1
femmine,diploma_o_equivalente,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,31.6
femmine,diploma_o_equivalente,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,5.5
femmine,diploma_o_equivalente,Le donne serie non vengono violentate,molto_d_accordo,0.7
femmine,diploma_o_equivalente,Le donne serie non vengono violentate,abbastanza_d_accordo,2.0
femmine,diploma_o_equivalente,Le donne serie non vengono violentate,poco_d_accordo,7.7
femmine,diploma_o_equivalente,Le donne serie non vengono violentate,per_niente_d_accordo,86.3
femmine,diploma_o_equivalente,Le donne serie non vengono violentate,non_risponde,3.2
femmine,diploma_o_equivalente,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,0.3
femmine,diploma_o_equivalente,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,0.9
femmine,diploma_o_equivalente,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,3.5
femmine,diploma_o_equivalente,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,92.0
femmine,diploma_o_equivalente,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,3.2
femmine,diploma_o_equivalente,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,0.6
