territorio,indicatore,sesso,presenza_disabilità,periodo,numero_vittime
veneto,Utenti del 1522,femmine,no,2023,598
veneto,Utenti del 1522,femmine,no,2024,1187
veneto,Utenti del 1522,femmine,si,2015,21
veneto,Utenti del 1522,femmine,si,2016,26
veneto,Utenti del 1522,femmine,si,2017,16
veneto,Utenti del 1522,femmine,si,2018,36
veneto,Utenti del 1522,femmine,si,2019,43
veneto,Utenti del 1522,femmine,si,2020,91
veneto,Utenti del 1522,femmine,si,2021,156
veneto,Utenti del 1522,femmine,si,2022,71
veneto,Utenti del 1522,femmine,si,2023,381
veneto,Utenti del 1522,femmine,si,2024,141
veneto,Utenti del 1522,femmine,non indicato,2015,112
veneto,Utenti del 1522,femmine,non indicato,2016,79
veneto,Utenti del 1522,femmine,non indicato,2017,62
veneto,Utenti del 1522,femmine,non indicato,2018,17
veneto,Utenti del 1522,femmine,non indicato,2019,17
veneto,Utenti del 1522,femmine,non indicato,2020,257
veneto,Utenti del 1522,femmine,non indicato,2021,610
veneto,Utenti del 1522,femmine,non indicato,2022,608
veneto,Utenti del 1522,femmine,non indicato,2023,1382
veneto,Utenti del 1522,femmine,non indicato,2024,1961
veneto,Utenti del 1522,non indicato,no,2024,3
veneto,Utenti del 1522,non indicato,si,2023,2
veneto,Utenti del 1522,non indicato,non indicato,2023,5
veneto,Utenti del 1522,non indicato,non indicato,2024,8
friuli venezia giulia,Utenti del 1522,maschi,no,2015,20
friuli venezia giulia,Utenti del 1522,maschi,no,2016,12
friuli venezia giulia,Utenti del 1522,maschi,no,2017,27
friuli venezia giulia,Utenti del 1522,maschi,no,2018,26
friuli venezia giulia,Utenti del 1522,maschi,no,2019,24
friuli venezia giulia,Utenti del 1522,maschi,no,2020,21
friuli venezia giulia,Utenti del 1522,maschi,no,2021,17
friuli venezia giulia,Utenti del 1522,maschi,no,2022,14
friuli venezia giulia,Utenti del 1522,maschi,no,2023,4
friuli venezia giulia,Utenti del 1522,maschi,no,2024,7
friuli venezia giulia,Utenti del 1522,maschi,si,2017,3
friuli venezia giulia,Utenti del 1522,maschi,si,2018,4
