territorio,sesso,stato_civile,periodo,numero_vittime
lombardia,femmine,coniugat,2021,810
lombardia,femmine,coniugat,2022,608
lombardia,femmine,coniugat,2023,732
lombardia,femmine,coniugat,2024,917
lombardia,femmine,divorziat,2015,56
lombardia,femmine,divorziat,2016,63
lombardia,femmine,divorziat,2017,61
lombardia,femmine,divorziat,2018,75
lombardia,femmine,divorziat,2019,85
lombardia,femmine,divorziat,2020,79
lombardia,femmine,divorziat,2021,70
lombardia,femmine,divorziat,2022,79
lombardia,femmine,divorziat,2023,100
lombardia,femmine,divorziat,2024,134
lombardia,femmine,vedov,2015,49
lombardia,femmine,vedov,2016,47
lombardia,femmine,vedov,2017,43
lombardia,femmine,vedov,2018,43
lombardia,femmine,vedov,2019,40
lombardia,femmine,vedov,2020,62
lombardia,femmine,vedov,2021,59
lombardia,femmine,vedov,2022,60
lombardia,femmine,vedov,2023,46
lombardia,femmine,vedov,2024,61
lombardia,femmine,non indicato,2015,9
lombardia,femmine,non indicato,2016,9
lombardia,femmine,non indicato,2017,17
lombardia,femmine,non indicato,2018,10
lombardia,femmine,non indicato,2019,7
lombardia,femmine,non indicato,2020,106
lombardia,femmine,non indicato,2021,185
lombardia,femmine,non indicato,2022,61
lombardia,femmine,non indicato,2023,125
lombardia,femmine,non indicato,2024,116
lombardia,femmine,non disponibile,2015,41
lombardia,femmine,non disponibile,2016,18
lombardia,femmine,non disponibile,2017,37
lombardia,femmine,non disponibile,2018,36
lombardia,femmine,non disponibile,2019,35
lombardia,femmine,non disponibile,2020,37
lombardia,femmine,non disponibile,2021,34
lombardia,femmine,non disponibile,2022,29
lombardia,non indicato,single,2023,4
lombardia,non indicato,single,2024,2
lombardia,non indicato,separat,2024,1
lombardia,non indicato,coniugat,2023,5
lombardia,non indicato,coniugat,2024,4
lombardia,non indicato,non indicato,2023,3
lombardia,non indicato,non indicato,2024,3
lombardia,non indicato,non disponibile,2023,33
lombardia,non indicato,non disponibile,2024,27
nord est,maschi,single,2015,19
nord est,maschi,single,2016,20
nord est,maschi,single,2017,18
nord est,maschi,single,2018,12
nord est,maschi,single,2019,11
nord est,maschi,single,2020,38
nord est,maschi,single,2021,28
nord est,maschi,single,2022,23
nord est,maschi,single,2023,29
nord est,maschi,single,2024,27
nord est,maschi,separat,2015,4
nord est,maschi,separat,2016,3
nord est,maschi,separat,2017,7
nord est,maschi,separat,2018,4
nord est,maschi,separat,2019,2
nord est,maschi,separat,2020,5
nord est,maschi,separat,2022,2
nord est,maschi,separat,2023,4
nord est,maschi,separat,2024,6
nord est,maschi,coniugat,2015,20
nord est,maschi,coniugat,2016,10
nord est,maschi,coniugat,2017,5
nord est,maschi,coniugat,2018,13
nord est,maschi,coniugat,2019,15
nord est,maschi,coniugat,2020,19
nord est,maschi,coniugat,2021,17
nord est,maschi,coniugat,2022,1
nord est,maschi,coniugat,2023,16
nord est,maschi,coniugat,2024,13
nord est,maschi,divorziat,2015,2
nord est,maschi,divorziat,2016,2
nord est,maschi,divorziat,2017,1
nord est,maschi,divorziat,2019,2
nord est,maschi,divorziat,2021,1
nord est,maschi,divorziat,2022,1
nord est,maschi,divorziat,2024,2
nord est,maschi,vedov,2015,2
nord est,maschi,vedov,2016,1
nord est,maschi,vedov,2017,1
nord est,maschi,vedov,2018,1
nord est,maschi,vedov,2019,1
nord est,maschi,vedov,2020,2
nord est,maschi,vedov,2021,1
nord est,maschi,vedov,2022,1
nord est,maschi,vedov,2024,1
nord est,maschi,non indicato,2015,1
nord est,maschi,non indicato,2016,1
nord est,maschi,non indicato,2017,2
nord est,maschi,non indicato,2020,10
nord est,maschi,non indicato,2021,9
nord est,maschi,non indicato,2023,11
nord est,maschi,non indicato,2024,1
nord est,maschi,non disponibile,2015,1
nord est,maschi,non disponibile,2016,2
nord est,maschi,non disponibile,2017,2
nord est,maschi,non disponibile,2018,1
nord est,maschi,non disponibile,2019,1
nord est,maschi,non disponibile,2020,4
nord est,maschi,non disponibile,2021,5
nord est,maschi,non disponibile,2022,1
nord est,femmine,single,2015,302
nord est,femmine,single,2016,303
nord est,femmine,single,2017,317
nord est,femmine,single,2018,409
nord est,femmine,single,2019,457
nord est,femmine,single,2020,744
nord est,femmine,single,2021,958
nord est,femmine,single,2022,711
nord est,femmine,single,2023,974
nord est,femmine,single,2024,1453
nord est,femmine,separat,2015,96
nord est,femmine,separat,2016,135
nord est,femmine,separat,2017,104
nord est,femmine,separat,2018,124
nord est,femmine,separat,2019,108
nord est,femmine,separat,2020,172
nord est,femmine,separat,2021,163
nord est,femmine,separat,2022,127
nord est,femmine,separat,2023,174
nord est,femmine,separat,2024,244
nord est,femmine,coniugat,2015,504
nord est,femmine,coniugat,2016,443
nord est,femmine,coniugat,2017,438
nord est,femmine,coniugat,2018,565
nord est,femmine,coniugat,2019,499
nord est,femmine,coniugat,2020,803
