territorio,sesso,nazionalità_utente,modalità_intervento,periodo,numero_vittime
italia,non indicato,non indicato,trasferito servizio,2019,1
italia,non indicato,non indicato,trasferito servizio,2020,2
italia,non indicato,non indicato,trasferito servizio,2021,8
italia,non indicato,non indicato,trasferito servizio,2022,5
italia,non indicato,non indicato,trasferito servizio,2023,1
italia,non indicato,non indicato,non trasferito servizio,2019,1
italia,non indicato,non indicato,non trasferito servizio,2020,7
italia,non indicato,non indicato,non trasferito servizio,2021,3
italia,non indicato,non indicato,non trasferito servizio,2022,10
italia,non indicato,non indicato,non trasferito servizio,2023,2563
italia,non indicato,non indicato,non trasferito servizio,2024,3011
italia,non indicato,non indicato,chiamate valide,2015,1
italia,non indicato,non indicato,chiamate valide,2019,2
italia,non indicato,non indicato,chiamate valide,2020,9
italia,non indicato,non indicato,chiamate valide,2021,11
italia,non indicato,non indicato,chiamate valide,2022,15
italia,non indicato,non indicato,chiamate valide,2023,2564
italia,non indicato,non indicato,chiamate valide,2024,3011
italia,non indicato,non indicato,richiesto intervento del 118,2021,1
italia,non indicato,non indicato,richiesto intervento del 118,2022,2
italia,non indicato,non indicato,richiesto intervento del 112,2015,1
italia,non indicato,non indicato,richiesto intervento del 112,2019,2
italia,non indicato,non indicato,richiesto intervento del 112,2020,9
italia,non indicato,non indicato,richiesto intervento del 112,2021,10
italia,non indicato,non indicato,richiesto intervento del 112,2022,14
italia,non indicato,non indicato,richiesto intervento del 112,2023,1
italia,non indicato,non indicato,richiesto intervento del 113,2015,1
italia,non indicato,non indicato,richiesto intervento del 113,2019,1
italia,non indicato,non indicato,richiesto intervento del 113,2020,2
italia,non indicato,non indicato,richiesto intervento del 113,2021,7
italia,non indicato,non indicato,richiesto intervento del 113,2022,1
italia,non indicato,non indicato,richiesto intervento del 113,2023,1
nord ovest,maschi,estero,trasferito servizio,2015,298
nord ovest,maschi,estero,trasferito servizio,2016,301
nord ovest,maschi,estero,trasferito servizio,2017,279
nord ovest,maschi,estero,trasferito servizio,2018,179
nord ovest,maschi,estero,trasferito servizio,2019,198
nord ovest,maschi,estero,trasferito servizio,2020,240
nord ovest,maschi,estero,trasferito servizio,2021,193
nord ovest,maschi,estero,trasferito servizio,2022,161
nord ovest,maschi,estero,trasferito servizio,2023,374
nord ovest,maschi,estero,trasferito servizio,2024,467
nord ovest,maschi,estero,non trasferito servizio,2015,135
nord ovest,maschi,estero,non trasferito servizio,2016,118
nord ovest,maschi,estero,non trasferito servizio,2017,189
nord ovest,maschi,estero,non trasferito servizio,2018,312
nord ovest,maschi,estero,non trasferito servizio,2019,300
nord ovest,maschi,estero,non trasferito servizio,2020,405
nord ovest,maschi,estero,non trasferito servizio,2021,385
nord ovest,maschi,estero,non trasferito servizio,2022,463
nord ovest,maschi,estero,non trasferito servizio,2023,557
nord ovest,maschi,estero,non trasferito servizio,2024,674
nord ovest,maschi,estero,chiamate valide,2015,433
nord ovest,maschi,estero,chiamate valide,2016,419
nord ovest,maschi,estero,chiamate valide,2017,468
nord ovest,maschi,estero,chiamate valide,2018,491
nord ovest,maschi,estero,chiamate valide,2019,498
nord ovest,maschi,estero,chiamate valide,2020,645
nord ovest,maschi,estero,chiamate valide,2021,578
nord ovest,maschi,estero,chiamate valide,2022,624
nord ovest,maschi,estero,chiamate valide,2023,931
nord ovest,maschi,estero,chiamate valide,2024,1141
nord ovest,maschi,estero,richiesto intervento del 118,2024,2
nord ovest,maschi,estero,richiesto intervento del 112,2015,1
nord ovest,maschi,estero,richiesto intervento del 112,2017,4
nord ovest,maschi,estero,richiesto intervento del 112,2018,1
nord ovest,maschi,estero,richiesto intervento del 112,2019,2
nord ovest,maschi,estero,richiesto intervento del 112,2020,1
nord ovest,maschi,estero,richiesto intervento del 112,2022,1
nord ovest,maschi,estero,richiesto intervento del 112,2023,77
nord ovest,maschi,estero,richiesto intervento del 112,2024,146
nord ovest,maschi,estero,richiesto intervento del 113,2015,1
nord ovest,maschi,estero,richiesto intervento del 113,2017,4
nord ovest,maschi,estero,richiesto intervento del 113,2018,1
nord ovest,maschi,estero,richiesto intervento del 113,2019,1
nord ovest,maschi,estero,richiesto intervento del 113,2020,1
